dataset,detector,attempted_bits_per_transition,auc,balanced_accuracy,eer
terrorists-911,linear,0.18461538461538463,0.5409467455621302,0.5307692307692308,0.46923076923076923
terrorists-911,forest,0.18461538461538463,0.5563313609467456,0.5384615384615384,0.4615384615384615
terrorists-911,mlp,0.18461538461538463,0.5397633136094674,0.523076923076923,0.47692307692307695
