dataset,cover_model,detector,attempted_bits_per_transition_mean,attempted_bits_per_transition_std,n_seeds,auc_mean,auc_std,auc_min,auc_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,eer_mean,eer_std,eer_min,eer_max
geolife_cells,backoff,forest,0.0011,0.0,5,0.50009994,7.850462293418876e-17,0.5000999399999999,0.5000999400000001,0.50005,0.0,0.50005,0.50005,0.49995,2.7755575615628914e-17,0.49994999999999995,0.49995
geolife_cells,backoff,linear,0.0011,0.0,5,0.5000600540000001,2.5673477170056892e-05,0.5000273000000001,0.5000994100000001,0.50001,2.2360679774995435e-05,0.5,0.50005,0.49996,2.2360679774995435e-05,0.49995,0.5
geolife_cells,backoff,mlp,0.0011,0.0,5,0.500045769,3.8217536288970247e-05,0.5000024999999999,0.5001034099999999,0.5000199999999999,2.7386127875255288e-05,0.5,0.50005,0.49998000000000004,2.7386127875255288e-05,0.49995,0.5
geolife_cells,gru,forest,0.31586,0.05410557272592168,5,0.501777815,9.247446890899128e-05,0.501625365,0.50184949,0.5010600000000001,7.416198487094846e-05,0.50095,0.50115,0.49904000000000004,0.00010839741694340383,0.4989,0.49915000000000004
geolife_cells,gru,linear,0.31586,0.05410557272592168,5,0.5010228889999999,0.0008025111064137608,0.50013332,0.5020105549999999,0.5005900000000001,0.0005672301120356821,0.49984999999999996,0.5012,0.49923,0.0005263078946776455,0.49874999999999997,0.49985
geolife_cells,gru,mlp,0.31586,0.05410557272592168,5,0.5010980439999999,0.0004683128577590757,0.5007050799999999,0.5016851299999999,0.5005200000000001,0.00039465174521344427,0.49989999999999996,0.501,0.49945000000000006,0.0004046603514059645,0.499,0.49985
geolife_cells,temporal_graph_encoder,forest,0.29678,0.26573502215552997,5,0.580174207,0.17735568865933518,0.500432105,0.8974363700000001,0.5553800000000001,0.12279983000802568,0.50015,0.77505,0.44460999999999995,0.12279387912269893,0.22495,0.4997
geolife_cells,temporal_graph_encoder,linear,0.29678,0.26573502215552997,5,0.5797599370000001,0.17706396117681367,0.49974033500000004,0.8964957950000001,0.5554,0.12278949466464954,0.50005,0.77505,0.44482999999999995,0.1225835256060128,0.22555000000000003,0.5002500000000001
geolife_cells,temporal_graph_encoder,mlp,0.29678,0.26573502215552997,5,0.54849001,0.1065685423393631,0.500039715,0.739115525,0.5420999999999999,0.09352436179947984,0.5,0.7094,0.47119999999999995,0.0633120347959217,0.35795,0.5
geolife_cells,transformer,forest,0.33628,0.012102768278373338,5,0.5025652490000001,0.0006939739891234647,0.5018291100000001,0.5036998149999999,0.50147,0.0003033150177620707,0.50125,0.502,0.49863999999999997,0.0004463742824133025,0.498,0.49924999999999997
geolife_cells,transformer,linear,0.33628,0.012102768278373338,5,0.5022093510000001,0.0009198265749749102,0.501166095,0.5036932150000001,0.5013500000000001,0.00043011626335212914,0.5008,0.502,0.49863999999999997,0.0003764970119403397,0.498,0.499
geolife_cells,transformer,mlp,0.33628,0.012102768278373338,5,0.501559564,0.0007079274574453276,0.500817935,0.502422535,0.50047,0.0004994997497496726,0.49995,0.5012,0.49935,0.0003640054944640297,0.4989,0.4998
