dataset,split,feature,wasserstein,mean_natural,mean_stego,abs_mean_difference,permutation_p
mooc,validation,rank_fraction,0.00095,0.9529100561774825,0.9519600561774825,0.0009500000000000064,0.78
mooc,validation,is_top_action,0.0009,0.0078,0.0087,0.0008999999999999998,0.535
mooc,validation,entropy_bits,0.0,3.8539822170683418,3.8539822170683418,0.0,1.0
mooc,validation,top_probability,0.0,0.14632367160653076,0.14632367160653076,0.0,1.0
mooc,validation,candidate_count,0.0,20.8592,20.8592,0.0,1.0
mooc,validation,unseen_context,0.0,0.9894,0.9894,0.0,1.0
mooc,validation,unseen_destination,0.0002,0.8245,0.8243,0.00019999999999997797,0.995
mooc,validation,same_as_previous,0.0,0.1907,0.1907,0.0,1.0
mooc,validation,self_loop,0.0,0.0,0.0,0.0,1.0
mooc,validation,log_inter_event_gap,0.0,3.0766529493255015,3.0766529493255015,0.0,1.0
t_drive_cells,test,action_probability,0.005064607374869053,0.1395073154287456,0.1445719228036146,0.0050646073748690235,0.15
t_drive_cells,test,surprise_bits,0.03529031983725248,5.069771054072136,5.034480734234884,0.035290319837252504,0.315
t_drive_cells,test,rank_fraction,0.01536949404761905,0.8162376073191514,0.8008903354937545,0.015347271825396858,0.005
t_drive_cells,test,is_top_action,0.0174,0.189,0.2064,0.0174,0.005
t_drive_cells,test,entropy_bits,0.0,3.7644225014853423,3.7644225014853423,0.0,1.0
t_drive_cells,test,top_probability,0.0,0.24356654659334254,0.24356654659334254,0.0,1.0
t_drive_cells,test,candidate_count,0.0,23.6709,23.6709,0.0,1.0
t_drive_cells,test,unseen_context,0.0,0.6538,0.6538,0.0,1.0
t_drive_cells,test,unseen_destination,0.0006,0.5324,0.5318,0.0005999999999999339,0.93
t_drive_cells,test,same_as_previous,0.0132,0.7168,0.7036,0.01319999999999999,0.06
t_drive_cells,test,self_loop,0.0143,0.812,0.7977,0.01430000000000009,0.015
t_drive_cells,test,log_inter_event_gap,0.0,4.6184162849109285,4.6184162849109285,0.0,1.0
t_drive_cells,validation,action_probability,0.005379968460463899,0.13780425725279524,0.14318422571325914,0.005379968460463902,0.105
t_drive_cells,validation,surprise_bits,0.03716170649742194,5.174514862710218,5.1373531562127965,0.037161706497421676,0.29
t_drive_cells,validation,rank_fraction,0.01327514880952381,0.8234342644365439,0.81033911562702,0.013095148809523893,0.03
t_drive_cells,validation,is_top_action,0.0139,0.1827,0.1966,0.013899999999999996,0.03
t_drive_cells,validation,entropy_bits,0.0,3.765991289108826,3.765991289108826,0.0,1.0
t_drive_cells,validation,top_probability,0.0,0.24590213696173988,0.24590213696173988,0.0,1.0
t_drive_cells,validation,candidate_count,0.0,23.9603,23.9603,0.0,1.0
t_drive_cells,validation,unseen_context,0.0,0.6651,0.6651,0.0,1.0
t_drive_cells,validation,unseen_destination,0.0009,0.5348,0.5339,0.0009000000000000119,0.915
t_drive_cells,validation,same_as_previous,0.0123,0.7095,0.6972,0.012299999999999978,0.085
t_drive_cells,validation,self_loop,0.0126,0.7953,0.7827,0.012600000000000056,0.03
t_drive_cells,validation,log_inter_event_gap,0.0,4.688827017916084,4.688827017916084,0.0,1.0
