dataset,detector,bounded_auc,oracle_auc,internal_only_auc,oracle_minus_bounded_auc,internal_advantage_over_random
tgbl-wiki,gradient_boosting,0.52938628125,0.5371577421875,0.5189375,0.00777146093750003,0.01893750000000005
tgbl-wiki,random_forest,0.52951965625,0.5371577421875,0.5189375,0.007638085937500039,0.01893750000000005
tgbl-wiki,mlp,0.5290668359374999,0.5371577421875,0.5189375,0.008090906250000085,0.01893750000000005
mooc,gradient_boosting,0.5008746171874998,0.5008746171875,0.5004375,2.220446049250313e-16,0.00043749999999997957
mooc,random_forest,0.5008746171875,0.5008746171875,0.5004375,0.0,0.00043749999999997957
mooc,mlp,0.5006248515625,0.50087034375,0.5004375,0.0002454921874999183,0.00043749999999997957
lastfm,gradient_boosting,0.5,0.5,0.5,0.0,0.0
lastfm,random_forest,0.5,0.5,0.5,0.0,0.0
lastfm,mlp,0.4999999921875,0.49999999218749996,0.5,-5.551115123125783e-17,0.0
geolife_cells,gradient_boosting,0.5,0.5,0.5,0.0,0.0
geolife_cells,random_forest,0.5,0.5,0.5,0.0,0.0
geolife_cells,mlp,0.5,0.49999028906250004,0.5,-9.710937499962657e-06,0.0
t_drive_cells,gradient_boosting,0.5208939062500001,0.532938875,0.51675,0.01204496874999994,0.016750000000000043
t_drive_cells,random_forest,0.5208684921875,0.5329388749999999,0.51675,0.012070382812499947,0.016750000000000043
t_drive_cells,mlp,0.521388984375,0.5329388046875,0.51675,0.011549820312499959,0.016750000000000043
