section,dataset,detector,variant,auc,balanced_accuracy,eer
robustness,lastfm,mlp,truncate_50,0.50000036,0.5,0.5
robustness,lastfm,mlp,timestamp_noise,0.49901658000000004,0.4998,0.50375
ablation,lastfm,mlp,full,0.50000299,0.5,0.5
ablation,lastfm,mlp,no_probability,0.499999995,0.5,0.5
ablation,lastfm,mlp,no_entropy,0.50015288,0.50005,0.4999
ablation,lastfm,mlp,no_cold_start,0.5000005049999999,0.5,0.5
ablation,lastfm,mlp,no_temporal,0.5000003399999999,0.5,0.5
robustness,geolife_cells,linear,none,0.50019948,0.5001,0.4999
robustness,geolife_cells,linear,subsample_80,0.49795928125000005,0.49774999999999997,0.501625
robustness,geolife_cells,linear,truncate_50,0.5,0.5,0.5
robustness,geolife_cells,linear,timestamp_noise,0.50107904,0.49934999999999996,0.4981
ablation,geolife_cells,linear,full,0.50019948,0.5001,0.4999
ablation,geolife_cells,linear,no_probability,0.5001009599999999,0.5001,0.49995
ablation,geolife_cells,linear,no_entropy,0.50019939,0.5001,0.4999
ablation,geolife_cells,linear,no_cold_start,0.50019942,0.5001,0.4999
ablation,geolife_cells,linear,no_temporal,0.5001993799999999,0.5001,0.4999
robustness,geolife_cells,forest,none,0.5001003300000001,0.50005,0.49995
robustness,geolife_cells,forest,subsample_80,0.4986585390625001,0.49924999999999997,0.5006875
robustness,geolife_cells,forest,truncate_50,0.4999999999999999,0.5,0.5
robustness,geolife_cells,forest,timestamp_noise,0.502454875,0.5017,0.49705
ablation,geolife_cells,forest,full,0.5001003300000001,0.50005,0.49995
ablation,geolife_cells,forest,no_probability,0.50019945,0.5001,0.4999
ablation,geolife_cells,forest,no_entropy,0.5001002400000001,0.50005,0.49995
ablation,geolife_cells,forest,no_cold_start,0.5001004,0.50005,0.49995
ablation,geolife_cells,forest,no_temporal,0.5001001500000001,0.50005,0.49994999999999995
robustness,geolife_cells,mlp,none,0.500169315,0.5001,0.4999
robustness,geolife_cells,mlp,subsample_80,0.49948932031250004,0.49943750000000003,0.5005
robustness,geolife_cells,mlp,truncate_50,0.50003802,0.5,0.5
robustness,geolife_cells,mlp,timestamp_noise,0.49755671,0.4976,0.5035000000000001
ablation,geolife_cells,mlp,full,0.500169315,0.5001,0.4999
ablation,geolife_cells,mlp,no_probability,0.50016138,0.50005,0.49995
ablation,geolife_cells,mlp,no_entropy,0.500199705,0.5001,0.4999
ablation,geolife_cells,mlp,no_cold_start,0.50017504,0.5001,0.49989999999999996
ablation,geolife_cells,mlp,no_temporal,0.5001289250000001,0.50005,0.49989999999999996
robustness,t_drive_cells,linear,none,0.532556255,0.5185,0.48164999999999997
robustness,t_drive_cells,linear,subsample_80,0.5331936171875,0.5201875,0.4801875
robustness,t_drive_cells,linear,truncate_50,0.5328383999999999,0.5186,0.4814
