dataset,split,rows,mean_nll_bits,perplexity,top1_accuracy,expected_calibration_error,unseen_source_fraction,unseen_destination_fraction
tgbl-wiki,train,110232,1.4117141349085505,2.6605308548333375,0.7277741490674214,0.1304431074816524,0.0,0.0
tgbl-wiki,validation,23621,5.682461071449067,51.35600490900367,0.4368993692053681,0.05422756736152256,0.1430506752466026,0.12137504762711147
tgbl-wiki,test,23621,6.380046106875474,83.28854051178457,0.4059099953431269,0.055125135781354986,0.1646839676558994,0.13018077134752973
mooc,train,288225,4.535145730327579,23.185416372989675,0.13377743082661114,0.01773897535200215,0.0,0.0
mooc,validation,61762,9.848678150722897,922.0352845634371,0.018765584016061657,0.08915896033627657,0.10147015964508921,0.0
mooc,test,61762,10.305054622016508,1265.1165822125433,0.015365435057154885,0.09249771240655284,0.13997279880832875,0.028982222078300573
lastfm,train,905173,6.948488333424994,123.51036719791065,0.05065219576810179,0.0005760676771703955,0.0,0.0
lastfm,validation,193965,10.761254464424798,1735.6429347277333,0.015734797515015594,0.03738888622142195,0.07736447297192793,0.042847936483386174
lastfm,test,193965,12.37805208919109,5323.104189558163,0.009635759028690743,0.030230670073608263,0.3301523470729255,0.2017374268553605
